[694.929, 4129]
[695.331, 4123]
[695.733, 4128]
[696.134, 4116]
[696.536, 4124]
[696.938, 4120]
[697.34, 4123]
[697.742, 4177]
[698.144, 4213]
[698.545, 4155]
[698.947, 4127]
[699.349, 4166]
[699.751, 4183]
[700.153, 4181]
[700.555, 4165]
[700.957, 4150]
[701.359, 4172]
[701.761, 4193]
[702.163, 4164]
[702.565, 4223]
[702.967, 4241]
[703.369, 4189]
[703.771, 4217]
[704.173, 4229]
[704.575, 4229]
[704.977, 4184]
[705.379, 4175]
[705.781, 4181]
[706.184, 4206]
[706.586, 4270]
[706.988, 4233]
[707.39, 4202]
[707.792, 4260]
[708.194, 4229]
[708.597, 4253]
[708.999, 4182]
[709.401, 4229]
[709.803, 4244]
[710.206, 4253]
[710.608, 4211]
[711.01, 4213]
[711.413, 4265]
[711.815, 4247]
[712.217, 4288]
[712.62, 4273]
[713.022, 4251]
[713.424, 4275]
[713.827, 4292]
[714.229, 4256]
